name,type,start_time,duration,"mosi"
"SPI","enable",2.204847,3.99999999e-08,
"SPI","disable",2.20485488,3.99999999e-08,
"SPI","enable",2.60495392,3.99999999e-08,
"SPI","result",2.60495472,1e-06,0xAE
"SPI","disable",2.60495704,4.00000004e-08,
"SPI","enable",2.60496224,4.00000004e-08,
"SPI","result",2.60496304,9.6e-07,0xA0
"SPI","disable",2.60496536,3.99999999e-08,
"SPI","enable",2.60497056,4.00000004e-08,
"SPI","result",2.60497136,9.6e-07,0x72
"SPI","disable",2.60497368,3.99999999e-08,
"SPI","enable",2.60497884,4.00000004e-08,
"SPI","result",2.60497968,9.6e-07,0xA1
"SPI","disable",2.60498196,3.99999999e-08,
"SPI","enable",2.60498716,4.00000004e-08,
"SPI","result",2.60498796,1e-06,0x00
"SPI","disable",2.60499028,4.00000004e-08,
"SPI","enable",2.60499548,3.99999999e-08,
"SPI","result",2.60499628,1e-06,0xA2
"SPI","disable",2.6049986,3.99999999e-08,
"SPI","enable",2.6050038,4.00000004e-08,
"SPI","result",2.6050046,1e-06,0x00
"SPI","disable",2.60500692,3.99999994e-08,
"SPI","enable",2.60501212,3.99999999e-08,
"SPI","result",2.60501292,9.6e-07,0xA4
"SPI","disable",2.60501524,3.99999999e-08,
"SPI","enable",2.60502044,3.99999994e-08,
"SPI","result",2.60502124,9.6e-07,0xA8
"SPI","disable",2.60502356,4.00000004e-08,
"SPI","enable",2.60502872,4.00000004e-08,
"SPI","result",2.60502956,9.6e-07,0x3F
"SPI","disable",2.60503184,3.99999999e-08,
"SPI","enable",2.60503704,3.99999994e-08,
"SPI","result",2.60503784,1e-06,0xAD
"SPI","disable",2.60504016,3.99999999e-08,
"SPI","enable",2.60504536,3.99999999e-08,
"SPI","result",2.60504616,9.99999999e-07,0x8E
"SPI","disable",2.60504848,3.99999994e-08,
"SPI","enable",2.60505368,3.99999999e-08,
"SPI","result",2.60505448,1e-06,0xB0
"SPI","disable",2.6050568,4.00000004e-08,
"SPI","enable",2.605062,3.99999994e-08,
"SPI","result",2.6050628,9.6e-07,0x0B
"SPI","disable",2.60506512,4.00000004e-08,
"SPI","enable",2.60507032,4.00000004e-08,
"SPI","result",2.60507112,9.6e-07,0xB1
"SPI","disable",2.60507344,3.99999999e-08,
"SPI","enable",2.6050786,3.99999994e-08,
"SPI","result",2.60507944,9.6e-07,0x31
"SPI","disable",2.60508172,4.00000004e-08,
"SPI","enable",2.60508692,3.99999999e-08,
"SPI","result",2.60508772,9.99999999e-07,0xB3
"SPI","disable",2.60509004,3.99999999e-08,
"SPI","enable",2.60509524,4.00000004e-08,
"SPI","result",2.60509604,1e-06,0xF0
"SPI","disable",2.60509836,4.00000004e-08,
"SPI","enable",2.60510356,3.99999999e-08,
"SPI","result",2.60510436,1e-06,0x8A
"SPI","disable",2.60510668,4.00000004e-08,
"SPI","enable",2.60511188,4.00000004e-08,
"SPI","result",2.60511268,1e-06,0x64
"SPI","disable",2.605115,3.99999994e-08,
"SPI","enable",2.6051202,4.00000004e-08,
"SPI","result",2.605121,9.6e-07,0x8B
"SPI","disable",2.60512332,3.99999999e-08,
"SPI","enable",2.60512848,4.00000004e-08,
"SPI","result",2.60512932,9.6e-07,0x78
"SPI","disable",2.6051316,3.99999999e-08,
"SPI","enable",2.6051368,4.00000004e-08,
"SPI","result",2.6051376,1e-06,0x8C
"SPI","disable",2.60513992,3.99999999e-08,
"SPI","enable",2.60514512,3.99999999e-08,
"SPI","result",2.60514592,1e-06,0x64
"SPI","disable",2.60514824,3.99999999e-08,
"SPI","enable",2.60515344,3.99999999e-08,
"SPI","result",2.60515424,1e-06,0xBB
"SPI","disable",2.60515656,3.99999994e-08,
"SPI","enable",2.60516176,3.99999999e-08,
"SPI","result",2.60516256,1e-06,0x3A
"SPI","disable",2.60516488,4.00000004e-08,
