name,type,start_time,duration,mosi
SPI,result,2.60495472,0,0xAE
SPI,result,2.60496304,9.60E-07,0xA0
SPI,result,2.60497136,9.60E-07,0x72
SPI,result,2.60497968,9.60E-07,0xA1
SPI,result,2.60498796,0,0x00
SPI,result,2.60499628,0,0xA2
SPI,result,2.6050046,0,0x00
SPI,result,2.60501292,9.60E-07,0xA4
SPI,result,2.60502124,9.60E-07,0xA8
SPI,result,2.60502956,9.60E-07,0x3F
SPI,result,2.60503784,0,0xAD
SPI,result,2.60504616,1.00E-06,0x8E
SPI,result,2.60505448,0,0xB0
SPI,result,2.6050628,9.60E-07,0x0B
SPI,result,2.60507112,9.60E-07,0xB1
SPI,result,2.60507944,9.60E-07,0x31
SPI,result,2.60508772,1.00E-06,0xB3
SPI,result,2.60509604,0,0xF0
SPI,result,2.60510436,0,0x8A
SPI,result,2.60511268,0,0x64
SPI,result,2.605121,9.60E-07,0x8B
SPI,result,2.60512932,9.60E-07,0x78
SPI,result,2.6051376,0,0x8C
SPI,result,2.60514592,0,0x64
SPI,result,2.60515424,0,0xBB
SPI,result,2.60516256,0,0x3A
SPI,result,2.60517088,9.60E-07,0xBE
SPI,result,2.6051792,9.60E-07,0x3E
SPI,result,2.60518748,0,0x87
SPI,result,2.6051958,0,0x06
SPI,result,2.60520412,0,0x81
SPI,result,2.60521244,0,0x91
SPI,result,2.60522076,9.60E-07,0x82
SPI,result,2.60522908,9.60E-07,0x50
SPI,result,2.60523736,0,0x83
SPI,result,2.60524568,0,0x7D
SPI,result,2.605254,0,0xAF
SPI,result,2.60533932,0,0x15
SPI,result,2.60534764,1.00E-06,0x00
SPI,result,2.60535596,9.60E-07,0x5F
SPI,result,2.60536428,9.60E-07,0x75
SPI,result,2.6053726,9.60E-07,0x00
SPI,result,2.60538088,0,0x3F
SPI,result,2.60539352,0,0x00
SPI,result,2.60539504,9.60E-07,0x00
SPI,result,2.6053974,0,0x00
SPI,result,2.60539888,0,0x00
SPI,result,2.60540128,9.60E-07,0x00
SPI,result,2.60540276,0,0x00
SPI,result,2.60540516,9.60E-07,0x00
SPI,result,2.60540664,0,0x00
SPI,result,2.60540904,9.60E-07,0x00
SPI,result,2.60541052,0,0x00
SPI,result,2.60541288,0,0x00
SPI,result,2.6054144,0,0x00
SPI,result,2.60541676,0,0x00
SPI,result,2.60541828,9.60E-07,0x00
SPI,result,2.60542064,0,0x00
SPI,result,2.60542216,9.60E-07,0x00
SPI,result,2.60542452,0,0x00
SPI,result,2.60542604,9.60E-07,0x00
SPI,result,2.6054284,0,0x00
SPI,result,2.60542992,9.60E-07,0x00
SPI,result,2.60543228,9.60E-07,0x00
SPI,result,2.60543376,0,0x00
SPI,result,2.60543616,9.60E-07,0x00
SPI,result,2.60543764,0,0x00
SPI,result,2.60544004,9.60E-07,0x00
SPI,result,2.60544152,0,0x00
SPI,result,2.60544392,9.60E-07,0x00
SPI,result,2.6054454,0,0x00
SPI,result,2.60544776,0,0x00
SPI,result,2.60544928,0,0x00
SPI,result,2.60545164,0,0x00
SPI,result,2.60545316,9.60E-07,0x00
SPI,result,2.60545552,0,0x00
SPI,result,2.60545704,9.60E-07,0x00
SPI,result,2.6054594,0,0x00
SPI,result,2.60546092,9.60E-07,0x00
SPI,result,2.60546328,0,0x00
SPI,result,2.6054648,9.60E-07,0x00
SPI,result,2.60546716,9.60E-07,0x00
SPI,result,2.60546864,0,0x00
SPI,result,2.60547104,9.60E-07,0x00
SPI,result,2.60547252,0,0x00
SPI,result,2.60547492,9.60E-07,0x00
SPI,result,2.6054764,0,0x00
SPI,result,2.6054788,9.60E-07,0x00
SPI,result,2.60548028,0,0x00
SPI,result,2.60548264,0,0x00
SPI,result,2.60548416,9.60E-07,0x00
SPI,result,2.60548652,0,0x00
SPI,result,2.60548804,9.60E-07,0x00
SPI,result,2.6054904,0,0x00
SPI,result,2.60549192,9.60E-07,0x00
SPI,result,2.60549428,0,0x00
SPI,result,2.6054958,9.60E-07,0x00
SPI,result,2.60549816,0,0x00
SPI,result,2.60549964,0,0x00
SPI,result,2.60550204,9.60E-07,0x00
SPI,result,2.60550352,0,0x00
SPI,result,2.60550592,9.60E-07,0x00
SPI,result,2.6055074,0,0x00
SPI,result,2.6055098,9.60E-07,0x00
SPI,result,2.60551128,0,0x00
SPI,result,2.60551364,0,0x00
SPI,result,2.60551516,0,0x00
SPI,result,2.60551752,0,0x00
SPI,result,2.60551904,9.60E-07,0x00
SPI,result,2.6055214,0,0x00
SPI,result,2.60552292,9.60E-07,0x00
SPI,result,2.60552528,0,0x00
SPI,result,2.6055268,9.60E-07,0x00
SPI,result,2.60552916,0,0x00
SPI,result,2.60553068,9.60E-07,0x00
SPI,result,2.60553304,0,0x00
SPI,result,2.60553452,0,0x00
SPI,result,2.60553692,9.60E-07,0x00
SPI,result,2.6055384,0,0x00
SPI,result,2.6055408,9.60E-07,0x00
SPI,result,2.60554228,0,0x00
SPI,result,2.60554468,9.60E-07,0x00
SPI,result,2.60554616,0,0x00
SPI,result,2.60554852,0,0x00
SPI,result,2.60555004,0,0x00
SPI,result,2.6055524,0,0x00
SPI,result,2.60555392,9.60E-07,0x00
SPI,result,2.60555628,0,0x00
SPI,result,2.6055578,9.60E-07,0x00
SPI,result,2.60556016,0,0x00
SPI,result,2.60556168,9.60E-07,0x00
SPI,result,2.60556404,0,0x00
SPI,result,2.60556556,9.60E-07,0x00
SPI,result,2.60556792,9.60E-07,0x00
SPI,result,2.6055694,0,0x00
SPI,result,2.6055718,9.60E-07,0x00
SPI,result,2.60557328,0,0x00
SPI,result,2.60557568,9.60E-07,0x00
SPI,result,2.60557716,0,0x00
SPI,result,2.60557956,9.60E-07,0x00
SPI,result,2.60558104,0,0x00
SPI,result,2.6055834,0,0x00
SPI,result,2.60558492,0,0x00
SPI,result,2.60558728,0,0x00
SPI,result,2.6055888,9.60E-07,0x00
SPI,result,2.60559116,0,0x00
SPI,result,2.60559268,9.60E-07,0x00
SPI,result,2.60559504,0,0x00
SPI,result,2.60559656,9.60E-07,0x00
SPI,result,2.60559892,0,0x00
SPI,result,2.60560044,9.60E-07,0x00
SPI,result,2.6056028,9.60E-07,0x00
SPI,result,2.60560428,0,0x00
SPI,result,2.60560668,9.60E-07,0x00
